160, 12, 567300, D
160, 13, 140810200, B
160, 13, 42300, G
160, 13, 676600, D
160, 14, 293437600, B
160, 14, 39700, G
160, 14, 677100, D
160, 15, 629673300, B
160, 15, 44700, G
160, 15, 713300, D
160, 16, 1299895700, B
160, 16, 44300, G
160, 16, 744000, D
160, 17, 2750648300, B
160, 17, 44500, G
160, 17, 825400, D
160, 18, 6004465800, B
160, 18, 48800, G
160, 18, 915700, D
170, 10, 13076900, B
170, 10, 45100, G
170, 10, 521800, D
170, 11, 29635300, B
170, 11, 43000, G
170, 11, 559800, D
170, 12, 64802000, B
170, 12, 41300, G
170, 12, 627800, D
170, 13, 142857800, B
170, 13, 43300, G
170, 13, 658500, D
170, 14, 303356200, B
170, 14, 48600, G
170, 14, 727200, D
170, 15, 625719500, B
170, 15, 48000, G
170, 15, 786600, D
170, 16, 1330271100, B
170, 16, 48400, G
170, 16, 824800, D
170, 17, 2766271700, B
170, 17, 44800, G
170, 17, 862200, D
170, 18, 5795055700, B
170, 18, 49000, G
170, 18, 910600, D
180, 10, 14529800, B
180, 10, 37100, G
180, 10, 560800, D
180, 11, 33259100, B
180, 11, 41000, G
180, 11, 630700, D
180, 12, 64354200, B
180, 12, 42200, G
180, 12, 639800, D
180, 13, 138017400, B
180, 13, 42700, G
180, 13, 885800, D
180, 14, 297194500, B
180, 14, 44300, G
180, 14, 758700, D
180, 15, 634408200, B
180, 15, 45800, G
180, 15, 816500, D
180, 16, 1348660700, B
180, 16, 47500, G
180, 16, 881200, D
180, 17, 2751243700, B
180, 17, 44500, G
180, 17, 880800, D
180, 18, 5832512700, B
180, 18, 45800, G
180, 18, 926600, D
190, 10, 14379800, B
190, 10, 40100, G
190, 10, 582600, D
190, 11, 31680700, B
190, 11, 38100, G
190, 11, 651800, D
190, 12, 68118200, B
190, 12, 41500, G
190, 12, 718500, D
190, 13, 137758800, B
190, 13, 53400, G
190, 13, 737600, D
190, 14, 297532300, B
190, 14, 51500, G
190, 14, 849900, D
190, 15, 638393100, B
190, 15, 50800, G
190, 15, 896400, D
190, 16, 1303769500, B
190, 16, 47200, G
190, 16, 900800, D
190, 17, 2876023300, B
190, 17, 54700, G
190, 17, 1039900, D
190, 18, 5971691900, B
190, 18, 48400, G
190, 18, 987200, D
200, 10, 13931900, B
